ISO_code,Vaccine,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
DZA,DTP3,,0.33,,,,,,0.66,,0.81,0.58,0.82,0.78,0.73,0.75,0.83,0.77,0.79,0.8,0.83,,0.89,0.86,0.87,0.86,0.88,0.95,0.95,0.93,0.95,0.95,0.95,0.95,0.95,0.95,0.95
AND,DTP3,,,,,,,,,,,,,,,,,0.9,0.9,0.89,0.9,0.98,0.96,0.97,0.99,0.99,0.98,0.93,0.96,0.99,0.99,0.99,0.99,0.99,0.96,0.97,0.97
AGO,DTP3,,,,0.06,,0.08,0.1,0.1,0.12,0.18,0.24,0.26,0.21,0.3,0.27,0.42,0.28,0.41,0.45,0.22,0.31,0.41,0.47,0.46,0.59,0.47,0.44,0.83,0.81,0.73,0.91,0.86,0.91,0.93,0.8,0.8
ATG,DTP3,0.54,0.79,0.79,0.99,0.94,0.99,0.96,0.97,0.98,0.99,0.99,0.94,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.97,0.98,0.99,0.97,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.99,0.99
ARG,DTP3,0.44,0.49,0.58,0.61,0.62,0.66,0.67,0.75,0.8,0.8,0.87,0.8,0.81,0.81,0.82,0.85,0.83,0.88,0.84,0.86,0.83,0.83,0.93,0.96,0.98,0.98,0.91,0.91,0.93,0.94,0.94,0.91,0.91,0.94,0.94,0.94
ARM,DTP3,,,,,,,,,,,0.81,0.83,0.85,0.85,0.86,0.98,0.86,0.88,0.82,0.91,0.93,0.94,0.94,0.94,0.91,0.9,0.87,0.88,0.89,0.93,0.94,0.95,0.95,0.95,0.93,0.94
AUS,DTP3,0.33,,,0.55,,,,,,0.93,0.95,,,,,0.86,0.86,0.77,0.82,0.88,0.9,0.92,0.92,0.93,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.91,0.92,0.93
AUT,DTP3,,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,,0.74,0.81,0.84,0.83,0.84,0.83,0.86,0.83,0.85,0.83,0.83,,,,,0.98,
AZE,DTP3,,,,,,,,,,,0.84,0.89,0.83,0.91,0.94,0.99,0.99,0.95,0.97,0.99,0.98,0.98,0.97,0.97,0.96,0.93,0.95,0.95,0.95,0.94,0.93,0.95,0.93,0.93,0.94,0.96
BHS,DTP3,0.36,0.55,0.69,0.65,0.69,0.86,0.95,0.77,0.85,0.86,0.87,0.92,0.92,0.91,0.91,0.87,0.85,0.86,0.89,0.82,0.99,0.99,0.94,0.92,0.93,0.93,0.95,0.95,0.93,0.96,0.99,0.98,0.98,0.97,0.96,0.95
BHR,DTP3,0.92,0.59,0.65,,0.83,0.64,0.8,0.88,0.96,0.96,0.94,0.99,0.94,0.94,0.96,0.95,0.96,0.98,0.98,0.97,0.97,0.99,0.98,0.97,0.98,0.98,0.98,0.97,0.97,0.98,0.99,0.99,0.99,0.99,0.98,0.98
BGD,DTP3,,0.01,0.01,0.01,0.01,0.02,0.04,0.09,0.16,0.49,0.69,0.87,0.98,0.9,0.94,0.91,0.97,0.98,0.78,0.66,0.68,0.65,0.69,0.72,0.96,0.78,0.84,0.87,0.87,0.87,0.89,0.9,0.9,0.92,0.93,0.93
BRB,DTP3,0.6,0.58,0.62,0.69,0.83,0.83,0.79,0.79,0.76,0.78,0.91,0.82,0.9,0.86,0.9,0.93,0.85,0.96,0.93,0.87,0.93,0.84,0.87,0.89,0.93,0.92,0.84,0.93,0.85,0.93,0.86,0.91,0.87,0.91,0.94,0.97
BLR,DTP3,,,,,,,,,,0.9,0.85,0.89,0.9,0.91,0.92,0.96,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.86,0.99,0.99,0.99,0.95,0.97,0.97,0.98,0.99,0.98,0.98,0.97,0.99
BEL,DTP3,,0.95,0.95,0.95,0.95,,0.95,0.95,0.8,0.94,0.93,0.92,0.95,0.97,0.96,0.94,0.95,0.62,0.79,,0.95,0.95,0.95,0.95,0.95,0.97,0.98,0.98,0.99,0.98,0.98,0.98,0.99,0.99,0.99,0.99
BLZ,DTP3,0.47,0.44,0.61,0.59,0.53,0.58,0.82,0.85,0.61,0.79,0.91,0.82,0.74,0.85,0.88,0.83,0.85,0.86,0.87,0.87,0.91,0.96,0.89,0.96,0.97,0.96,0.98,0.96,0.94,0.97,0.96,0.95,0.98,0.95,0.95,0.94
BEN,DTP3,,,,,,0.17,0.17,0.25,0.3,0.48,0.78,0.68,0.79,0.77,0.86,0.89,0.8,0.78,0.81,0.9,0.88,0.84,0.93,0.88,0.83,0.93,0.93,0.97,0.93,0.98,0.98,0.99,0.85,0.93,0.9,0.82
BTN,DTP3,0.06,0.13,0.1,0.16,0.53,0.52,0.53,0.63,0.75,0.76,0.84,0.95,0.72,0.75,0.86,0.87,0.87,0.87,0.86,0.88,0.92,0.88,0.86,0.95,0.89,0.95,0.95,0.95,0.96,0.96,0.95,0.95,0.97,0.97,0.99,0.99
BOL,DTP3,0.11,0.13,0.12,0.1,0.06,0.33,0.29,0.24,0.39,0.39,0.41,0.58,0.77,0.81,0.81,0.88,0.82,0.78,0.76,0.87,0.89,0.91,0.99,0.99,0.84,0.85,0.83,0.82,0.83,0.85,0.8,0.82,0.8,0.8,0.85,0.89
BIH,DTP3,,,,,,,,,,,,0.85,0.58,0.38,0.82,0.55,,0.79,0.89,0.9,0.85,0.91,0.8,0.87,0.84,0.93,0.87,0.95,0.91,0.9,0.89,0.88,0.92,,0.86,0.82
BWA,DTP3,,0.66,0.74,0.71,0.79,0.68,0.65,0.48,0.5,0.55,0.56,0.53,0.59,0.57,0.78,0.8,0.83,0.76,0.82,0.85,0.85,0.74,0.87,0.93,0.89,0.99,0.99,0.98,0.94,0.97,0.95,0.99,0.99,0.79,0.94,0.8
BRA,DTP3,0.37,0.47,0.56,0.6,0.68,0.66,0.58,0.58,0.58,0.56,0.66,0.78,0.71,0.75,0.74,0.81,0.77,0.79,0.93,0.94,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.95,0.97,0.93,0.96
BRN,DTP3,0.89,,0.99,0.85,0.96,0.88,0.86,0.85,0.89,,0.99,,0.96,0.99,,,,0.99,0.97,0.92,0.99,0.99,0.94,0.92,0.92,0.99,0.99,0.99,0.98,0.99,0.95,0.97,0.9,0.99,0.99,0.99
BGR,DTP3,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.93,0.96,0.95,0.94,0.95,0.96,0.93,0.94,0.93,0.96,0.95,0.96,0.95,0.95,0.95,0.94,0.94,0.95,0.95,0.95,0.88,0.91
BFA,DTP3,,0.02,,,,,0.34,0.34,0.23,,,,0.39,0.47,0.41,0.47,0.48,0.7,0.4,0.34,0.57,0.68,0.69,0.84,0.88,0.96,0.95,0.99,0.99,0.99,0.91,0.91,0.9,0.88,0.91,0.91
BDI,DTP3,,0.36,0.33,0.44,0.26,0.36,0.53,0.68,0.68,0.82,0.86,0.83,0.8,0.63,0.48,0.63,0.55,0.6,0.5,0.63,0.68,0.59,0.95,0.94,0.83,0.87,0.92,0.99,0.92,0.99,0.96,0.99,0.96,0.96,0.95,0.94
CPV,DTP3,,,,0.23,,0.39,0.54,0.92,0.88,0.99,0.88,0.99,0.99,0.99,,0.73,0.73,0.78,0.8,0.69,0.86,0.78,0.94,0.87,0.75,0.73,0.72,0.81,0.82,0.74,0.99,0.9,0.94,0.93,0.95,0.93
KHM,DTP3,,,,,,,,0.55,0.45,0.47,0.38,0.39,0.32,0.35,0.53,0.79,0.75,0.7,0.64,0.64,0.59,0.6,0.54,0.69,0.85,0.82,0.8,0.82,0.91,0.94,0.92,0.94,0.95,0.92,0.97,0.98
CMR,DTP3,,0.05,,0.25,0.27,0.5,,,0.2,0.18,0.36,0.34,0.37,0.34,0.38,0.46,0.44,0.43,0.48,0.48,0.53,0.43,0.63,0.73,0.73,0.8,0.81,0.82,0.84,0.8,0.84,0.82,0.85,0.89,0.87,0.84
CAN,DTP3,,,,,,,,0.85,,,,,,0.9,0.93,0.87,0.9,0.86,0.9,,,,0.88,0.91,0.91,,0.95,0.94,0.8,0.83,0.77,0.87,0.95,0.91,,0.91
CAF,DTP3,0.13,0.11,0.14,0.16,0.17,0.2,0.19,0.18,0.3,0.43,0.61,0.66,0.31,,0.4,0.45,0.53,0.53,0.45,0.27,0.29,0.23,0.23,0.28,0.5,0.46,0.88,0.84,0.51,0.76,0.58,0.64,0.59,0.28,0.45,0.47
TCD,DTP3,,,,0.01,,,0.1,0.14,0.12,0.47,0.2,0.18,0.1,0.13,0.18,0.18,0.2,0.24,0.23,0.33,0.28,0.27,0.4,0.47,0.5,0.58,0.77,0.7,0.43,0.75,0.83,0.7,0.72,0.8,0.83,0.92
CHL,DTP3,0.93,0.99,0.99,0.89,0.99,0.99,0.9,0.93,0.96,0.95,0.95,0.94,0.9,0.9,0.94,0.94,0.91,0.9,0.9,0.95,0.91,0.97,0.97,0.96,0.93,0.91,0.94,0.96,0.95,0.94,0.92,0.94,0.9,0.91,0.95,0.96
CHN,DTP3,,,,0.58,0.63,0.78,0.78,0.62,0.75,0.95,0.97,0.95,0.94,0.95,0.93,0.92,0.95,0.96,0.98,0.85,0.85,0.79,0.98,0.98,0.99,0.87,0.93,0.93,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99
COL,DTP3,0.16,0.2,0.26,0.42,0.61,0.6,0.48,0.58,0.74,0.78,0.88,0.84,0.78,0.83,0.88,0.94,0.92,0.84,0.73,0.74,0.79,0.8,0.81,0.92,0.89,0.93,0.93,0.93,0.92,0.92,0.88,0.85,0.91,0.91,0.9,0.91
COM,DTP3,,,,,0.31,,0.24,0.71,0.43,0.82,0.94,0.52,0.38,0.7,0.58,0.75,0.6,0.48,0.75,,0.7,0.7,0.89,0.8,0.76,0.68,0.69,0.75,0.81,0.83,0.74,0.83,0.86,0.83,0.8,0.8
COG,DTP3,,0.42,,0.5,0.53,0.54,0.68,0.57,0.5,0.66,0.77,0.7,0.65,0.6,,0.47,0.75,0.23,,0.29,0.33,0.31,0.41,0.5,0.67,0.65,0.79,0.8,0.89,0.91,0.9,0.9,0.85,0.85,0.9,0.8
COK,DTP3,0.4,,,0.57,0.48,0.78,0.87,0.83,0.94,0.89,0.93,0.87,0.87,0.99,0.86,0.93,0.75,0.93,0.93,0.92,0.92,0.9,0.97,0.96,0.99,0.99,0.99,0.99,0.99,0.82,0.99,0.93,0.98,0.98,0.99,0.99
CRI,DTP3,0.86,0.85,0.8,0.86,0.93,0.9,0.89,0.94,0.86,0.86,0.95,0.9,0.9,0.88,0.87,0.85,0.85,0.94,0.85,0.86,0.88,0.91,0.94,0.88,0.9,0.91,0.89,0.89,0.89,0.86,0.91,0.85,0.91,0.95,0.91,0.92
CIV,DTP3,,,,,0.19,0.25,0.3,0.73,0.25,0.42,,0.54,0.49,0.5,0.41,0.41,0.55,0.7,0.64,0.58,0.62,0.59,0.73,0.48,0.5,0.56,0.77,0.76,0.74,0.81,0.85,0.62,0.94,0.99,0.87,0.91
HRV,DTP3,,,,,,,,,,,,0.85,0.83,0.85,0.87,0.9,0.91,0.92,0.93,0.93,0.93,0.94,0.95,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.96,0.96,0.96,0.95,0.94
CUB,DTP3,0.67,0.68,0.99,0.99,0.86,0.91,0.99,0.87,0.98,0.96,0.92,0.99,0.94,0.99,0.99,0.99,0.9,0.98,0.99,0.94,0.95,0.99,0.99,0.73,0.88,0.99,0.89,0.93,0.99,0.96,0.96,0.99,0.99,0.99,0.99,0.99
CYP,DTP3,0.34,0.56,0.26,0.34,0.3,,0.91,0.93,0.9,0.93,,,,,0.95,0.96,0.98,0.98,,,0.97,,0.98,0.98,0.98,0.98,0.97,0.97,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.97
CZE,DTP3,,,,,,,,,,,,0.99,0.99,0.99,0.98,0.96,0.97,0.98,0.98,0.98,0.98,,0.98,0.97,0.98,0.97,0.98,0.99,0.99,0.99,0.99,0.99,0.99,,0.97,
PRK,DTP3,0.5,0.52,0.51,0.52,0.67,0.55,0.61,0.86,0.87,0.97,0.98,0.97,0.9,0.9,0.99,0.96,0.99,0.99,0.37,0.87,0.8,0.62,0.64,0.68,0.72,0.79,0.89,0.92,0.92,0.93,0.93,0.94,0.96,0.93,0.93,0.96
COD,DTP3,,0.18,,0.16,,0.37,0.39,0.38,0.41,0.38,0.36,0.16,,0.29,0.29,0.23,0.18,0.18,0.18,0.25,0.4,0.32,0.43,0.49,0.64,0.73,0.77,0.87,0.83,0.92,0.78,0.9,0.89,0.87,0.93,0.94
DNK,DTP3,0.88,0.88,0.87,0.86,0.86,0.9,0.89,0.88,0.87,0.89,0.9,0.9,0.91,0.88,0.89,0.9,0.77,0.92,0.99,0.99,0.97,0.97,0.98,0.96,0.95,0.93,0.93,0.87,,0.89,0.9,0.91,0.94,0.94,0.94,0.93
DJI,DTP3,,,0.06,,0.21,0.3,0.26,0.25,0.65,0.77,0.85,0.81,0.84,0.41,0.57,0.63,0.49,0.62,0.23,0.23,0.46,0.53,0.62,0.68,0.64,0.71,0.72,0.88,0.89,0.89,0.88,0.87,0.81,0.82,0.78,0.84
DMA,DTP3,0.63,0.97,0.99,0.93,0.84,0.91,0.93,0.95,0.96,0.92,0.92,0.98,0.99,0.99,0.99,0.99,0.99,0.92,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.98,0.95,0.96,0.96,0.99,0.98,0.98,0.97,0.97,0.97,0.98
DOM,DTP3,0.36,0.27,0.28,0.29,0.2,0.41,0.8,0.8,0.42,0.47,0.69,0.47,0.48,0.75,0.83,0.83,0.83,0.83,0.8,0.83,0.78,0.72,0.82,0.79,0.79,0.87,0.89,0.85,0.82,0.82,0.88,0.84,0.85,0.83,0.91,0.85
ECU,DTP3,0.1,0.26,0.35,0.31,0.48,0.41,0.43,0.5,0.54,0.55,0.75,0.69,0.79,0.76,0.8,0.74,0.96,0.76,0.85,0.8,0.88,0.9,0.89,0.89,0.9,0.94,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.87,0.83,0.78
EGY,DTP3,0.84,0.82,0.83,,0.69,0.84,0.8,0.81,0.87,0.9,0.87,0.86,0.89,0.89,0.9,0.88,0.9,0.94,0.95,0.97,0.98,0.99,0.97,0.98,0.97,0.98,0.98,0.98,0.97,0.97,0.97,0.97,0.93,0.97,0.94,0.93
SLV,DTP3,0.44,0.42,0.42,0.21,0.31,0.55,0.5,0.53,0.63,0.64,0.8,0.61,0.6,0.79,0.9,0.99,0.96,0.97,0.99,0.94,0.99,0.92,0.81,0.94,0.9,0.89,0.96,0.99,0.98,0.91,0.89,0.89,0.92,0.92,0.94,0.91
GNQ,DTP3,,,,,,0.03,0.03,,0.18,0.14,,,0.64,0.6,,0.64,0.64,0.81,,0.4,0.32,0.32,0.65,0.41,0.46,0.34,0.34,0.41,0.74,0.74,0.44,0.54,0.41,0.24,0.45,0.17
ERI,DTP3,,,,,,,,,,,,,,0.28,0.36,0.35,0.46,0.6,0.6,0.56,0.52,0.65,0.7,0.75,0.8,0.8,0.8,0.8,0.85,0.85,0.85,0.94,0.94,0.94,0.94,0.95
EST,DTP3,0.84,0.82,0.8,0.82,0.82,0.84,0.88,,,,0.67,0.71,0.7,0.71,0.77,0.82,0.87,0.87,0.88,0.91,0.93,0.94,0.94,0.94,0.94,0.96,0.95,0.95,0.95,0.95,0.94,0.93,0.94,0.94,0.93,0.93
ETH,DTP3,,0.03,0.03,0.04,0.04,0.06,0.07,0.16,0.16,0.26,0.49,0.21,0.13,0.28,0.37,0.57,0.42,0.41,0.37,0.4,0.42,0.51,0.51,0.52,0.66,0.69,0.72,0.73,0.81,0.79,0.86,0.87,0.83,0.82,0.84,0.96
FJI,DTP3,0.68,0.7,0.64,0.8,0.77,0.69,0.71,0.9,0.98,0.69,0.82,0.99,,0.96,0.83,0.97,0.97,0.86,0.86,,,0.9,0.92,0.94,0.71,0.75,0.81,0.83,0.99,0.75,0.87,0.84,0.91,0.98,0.98,0.96
FIN,DTP3,,0.92,0.94,0.94,,,,,0.99,0.9,0.9,0.95,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.97,0.97,0.99,0.99,0.99,,0.99,0.99,0.98,,0.97
FRA,DTP3,,0.79,,0.9,0.94,,0.96,,0.79,0.95,0.94,0.94,0.94,0.94,0.96,0.96,0.97,0.97,0.96,0.97,0.97,0.97,0.97,0.97,0.98,0.98,0.99,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,
GAB,DTP3,,,0.48,0.14,0.31,0.48,0.48,0.59,0.65,0.71,0.78,0.72,0.66,0.65,0.59,0.7,0.61,0.54,0.37,0.31,0.1,0.28,0.33,0.4,0.4,0.4,0.44,0.81,0.82,0.76,0.67,0.75,0.82,0.79,0.7,0.8
GMB,DTP3,,0.76,,0.62,,0.78,0.73,0.85,0.82,0.87,0.92,0.85,0.85,0.9,0.93,0.96,0.96,0.96,0.97,0.88,0.74,0.96,0.8,0.8,0.9,0.95,0.95,0.9,0.92,0.94,0.95,0.96,0.98,0.98,0.96,0.97
GEO,DTP3,,,,,,,,,,,0.69,0.45,0.58,0.54,0.58,0.54,0.92,0.92,0.89,0.98,0.98,0.86,0.85,0.75,0.78,0.82,0.88,0.98,0.92,0.88,0.92,0.94,0.92,0.96,0.91,0.94
DEU,DTP3,,,,,,,0.95,0.97,0.93,0.94,0.8,0.9,0.8,0.8,0.8,0.8,0.8,0.85,0.62,0.73,0.78,0.84,0.87,0.89,0.97,0.98,0.98,0.97,0.98,0.97,0.96,0.96,0.96,0.96,,
GHA,DTP3,0.07,0.22,0.22,0.23,0.19,,0.15,0.18,0.36,0.35,0.5,0.4,0.4,0.48,0.48,0.51,0.51,0.6,0.68,0.72,0.84,0.76,0.99,0.8,0.8,0.84,0.84,0.94,0.93,0.94,0.94,0.91,0.92,0.9,0.98,0.89
GRC,DTP3,0.72,0.95,,,0.6,0.54,0.8,0.82,0.83,0.54,0.54,0.85,0.89,0.89,0.9,0.9,0.9,0.9,,0.88,,,,,,,,0.99,0.99,0.99,,0.99,0.99,0.99,0.99,0.99
GRD,DTP3,0.25,0.43,0.56,0.68,0.76,0.61,0.98,0.8,0.65,0.87,0.8,0.85,0.9,0.89,0.83,0.95,0.8,0.95,0.97,0.88,0.97,0.96,0.98,0.98,0.83,0.99,0.91,0.99,0.99,0.99,0.97,0.95,0.97,0.99,0.97,0.92
GTM,DTP3,0.43,0.42,0.45,0.44,0.48,0.21,0.37,0.16,0.47,0.58,0.66,0.63,0.66,0.75,0.71,0.8,0.73,0.83,0.88,0.88,0.95,0.92,0.94,0.94,0.95,0.92,0.91,0.85,0.95,0.92,0.94,0.88,0.96,0.93,0.73,0.74
GIN,DTP3,,,,,,,0.02,,,0.17,0.2,0.41,0.52,,0.73,0.73,0.48,0.53,0.56,0.57,0.57,0.57,0.58,0.69,0.69,0.86,0.89,0.93,0.7,0.85,0.9,0.85,0.99,0.9,0.6,0.6
GNB,DTP3,,,,0.09,0.18,0.18,0.29,0.55,0.66,0.6,0.61,0.63,0.67,0.65,0.74,0.45,0.53,0.63,,0.06,,0.47,0.5,0.77,0.8,0.8,0.77,0.96,0.79,0.82,0.86,0.89,0.9,0.96,0.83,0.9
GUY,DTP3,0.36,0.41,0.58,0.58,0.7,0.75,0.64,0.67,0.64,0.77,0.82,0.81,0.79,0.93,0.9,0.86,0.83,0.88,0.9,0.83,0.88,0.85,0.91,0.9,0.91,0.93,0.93,0.94,0.93,0.98,0.95,0.93,0.97,0.98,0.98,0.95
HTI,DTP3,0.03,0.14,0.12,0.09,0.14,0.19,0.24,0.28,0.48,0.5,0.41,,0.3,0.3,0.3,0.34,,0.35,0.39,0.59,0.59,0.52,0.39,0.5,0.62,0.68,0.79,0.68,0.53,0.68,0.67,0.85,0.85,0.85,0.6,0.72
HND,DTP3,0.28,0.34,0.46,0.52,0.41,0.58,0.62,0.58,0.74,0.85,0.84,0.94,0.93,0.94,0.94,0.94,0.94,0.95,0.97,0.95,0.94,0.96,0.95,0.92,0.94,0.98,0.95,0.94,0.93,0.98,0.99,0.99,0.88,0.87,0.85,0.99
HUN,DTP3,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
ISL,DTP3,,0.99,0.98,0.94,0.99,,0.99,,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,,,0.98,0.92,,0.97,0.99,0.95,0.97,0.97,0.98,0.96,0.96,0.95,0.89,0.91,0.9,0.92
IND,DTP3,0.53,0.58,0.74,0.78,0.87,0.99,0.85,0.97,0.93,0.99,0.99,0.9,0.9,0.93,0.95,0.91,0.92,0.93,0.9,0.59,0.58,0.59,0.59,0.61,0.63,0.65,0.65,0.64,0.7,0.74,0.79,0.82,0.82,0.83,,0.87
IDN,DTP3,,,0.01,0.06,0.13,0.27,0.47,0.64,0.71,0.75,0.88,0.91,0.93,0.91,0.92,0.92,0.91,0.9,0.92,0.88,0.77,0.76,0.75,0.9,0.76,0.9,0.87,0.88,0.77,0.82,0.83,0.83,0.73,0.86,0.95,0.84
IRN,DTP3,0.32,0.29,0.41,0.33,0.33,0.51,0.57,0.57,0.88,0.82,0.91,0.88,0.97,0.99,0.95,0.98,0.99,0.99,0.99,0.99,0.99,0.95,0.99,0.99,0.98,0.95,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98
IRQ,DTP3,0.13,0.13,0.18,0.16,,,0.91,0.74,0.86,0.97,0.83,0.63,0.81,0.88,0.87,0.91,0.94,0.92,0.87,0.9,0.86,0.74,0.74,0.59,0.74,0.84,0.76,0.7,0.8,0.86,0.84,0.89,0.79,0.78,0.74,0.68
IRL,DTP3,0.34,0.36,0.43,0.42,0.45,0.45,,,0.43,0.65,0.65,,,,,,,0.76,0.84,0.86,0.86,0.84,0.83,0.86,0.89,0.9,0.91,0.92,0.93,0.94,0.94,0.95,0.95,0.96,0.96,0.95
ISR,DTP3,0.84,0.91,0.92,0.89,0.87,0.85,0.92,0.92,0.92,0.92,0.93,0.94,0.95,0.96,0.95,0.96,0.94,0.95,0.96,0.96,0.96,0.95,0.97,0.95,0.95,0.93,0.95,0.95,0.94,0.96,0.95,0.94,0.94,0.96,,
ITA,DTP3,,,,,,,,,,,0.8,0.8,0.8,0.82,0.83,0.84,0.84,0.85,0.86,0.87,0.87,0.93,0.93,0.96,0.94,0.95,0.96,0.97,0.96,0.96,0.96,0.96,0.97,0.96,0.95,0.93
JAM,DTP3,0.24,0.39,0.34,0.51,0.58,0.6,0.74,0.81,0.82,0.85,0.86,0.85,0.85,0.91,0.93,0.91,0.92,0.9,0.85,0.84,0.86,0.9,0.87,0.81,0.81,0.88,0.85,0.85,0.87,0.9,0.94,0.92,0.96,0.93,0.92,0.91
JPN,DTP3,0.6,0.75,0.81,0.8,0.82,0.83,,,,0.87,0.87,0.92,0.87,0.85,,0.74,0.99,0.7,,,0.85,0.95,0.97,0.97,0.99,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.96
JOR,DTP3,0.3,0.81,0.75,0.76,0.44,0.53,0.88,0.9,0.98,0.94,0.92,0.92,0.96,0.94,0.96,0.99,0.99,0.99,0.99,0.85,0.91,0.99,0.95,0.97,0.95,0.95,0.98,0.98,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.99
KAZ,DTP3,,,,,,,,,,,0.8,0.83,0.81,0.76,0.76,0.93,0.95,0.97,0.99,0.98,0.97,0.95,0.95,0.99,0.82,0.98,0.99,0.93,0.99,0.98,0.99,0.99,0.99,0.98,0.95,0.98
KEN,DTP3,,,,,,0.7,0.72,,0.3,0.41,0.42,0.41,0.4,0.42,0.5,0.84,0.77,0.36,0.64,0.79,0.63,0.8,0.84,0.73,0.73,0.76,0.8,0.81,0.85,0.75,0.83,0.88,0.83,0.84,0.81,0.78
KIR,DTP3,0.43,0.29,0.53,0.4,0.18,0.37,,0.36,0.63,0.79,0.97,0.7,0.86,0.99,0.71,0.6,0.79,0.91,0.88,0.78,0.9,0.85,0.99,0.98,0.62,0.79,0.86,0.94,0.82,0.86,0.91,0.99,0.94,0.95,0.75,0.87
KWT,DTP3,0.67,0.79,0.83,0.89,0.89,0.9,0.91,0.92,0.94,0.94,,,,0.97,0.99,0.99,0.99,0.96,0.95,0.94,0.98,,,0.99,,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.98,0.99,0.95,0.99
KGZ,DTP3,,,,,,,,,,,0.99,0.82,0.84,0.64,0.82,0.93,0.98,0.98,0.97,0.99,0.99,0.99,0.98,0.98,0.99,0.98,0.92,0.94,0.95,0.95,0.96,0.96,0.96,0.97,0.96,0.97
LAO,DTP3,,,,,,0.04,0.05,0.1,0.17,0.21,0.18,0.22,0.23,0.25,0.48,0.54,0.58,0.6,0.55,0.56,0.53,0.4,0.55,0.5,0.45,0.49,0.81,0.5,0.61,0.67,0.74,0.78,0.79,0.87,0.88,0.89
LVA,DTP3,,0.91,0.89,0.89,0.91,0.9,0.9,0.92,0.89,0.88,0.9,0.89,0.87,0.8,0.97,0.98,0.93,0.92,0.94,0.95,0.96,0.97,0.97,0.98,0.99,0.99,0.96,0.94,0.94,0.94,0.92,0.92,0.91,0.94,0.92,0.95
LBN,DTP3,,,0.04,,0.04,0.6,0.3,0.91,0.33,0.78,0.82,0.86,0.89,0.87,,0.94,0.94,0.92,0.96,0.94,0.9,0.93,0.92,0.92,,0.47,0.46,0.48,0.93,0.93,0.94,0.95,0.95,0.98,0.97,0.91
LSO,DTP3,,0.58,,0.8,,,0.68,0.7,0.87,0.78,0.71,0.67,0.66,0.47,0.55,0.52,0.53,0.56,0.64,0.58,0.69,0.72,0.6,0.62,0.71,0.87,0.9,0.91,0.91,0.72,0.75,0.69,0.67,0.66,0.69,0.67
LBR,DTP3,,0.39,,0.23,,,0.15,0.19,,,,,,,,0.45,0.45,0.26,0.19,0.23,0.48,0.62,0.51,0.38,0.31,0.87,0.88,0.88,0.92,0.92,0.75,0.77,0.93,0.89,0.63,0.65
LBY,DTP3,0.6,0.67,0.72,0.79,0.81,0.81,0.82,0.82,0.84,0.87,0.84,,0.9,,,0.95,0.96,0.96,0.95,0.94,,0.94,0.94,,0.97,0.98,0.98,0.98,0.98,0.98,,,0.98,,0.97,
LTU,DTP3,,,,,,,,,0.84,0.8,0.76,0.75,0.86,0.87,0.87,0.97,0.92,0.9,0.93,0.93,0.94,0.95,0.95,0.94,0.94,0.94,0.94,0.95,0.96,0.98,0.95,0.92,0.93,0.93,0.93,0.93
LUX,DTP3,,,,0.75,0.68,,,0.95,0.9,0.9,0.9,,,,,,0.98,0.98,,,,,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
MDG,DTP3,0.48,0.41,0.15,0.23,0.19,0.23,0.3,0.35,0.42,0.51,0.71,0.53,0.65,0.66,0.66,0.74,0.73,0.61,0.54,0.71,0.8,0.37,0.62,0.87,0.75,0.92,0.93,0.95,0.88,0.89,0.85,0.89,0.86,0.9,0.89,0.85
