ISO_code,Vaccine,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
BDI,BCG,,0.59,0.56,0.52,0.46,0.52,0.66,0.82,0.85,0.99,0.97,0.87,0.9,0.73,0.61,0.5,0.64,0.71,0.58,0.72,0.73,0.63,0.97,0.92,0.91,0.89,0.98,0.97,0.99,0.98,0.93,0.9,0.98,0.95,0.92,0.93
CPV,BCG,,,,,,0.64,0.93,0.99,0.99,0.99,0.97,0.99,0.99,0.99,,0.8,0.8,0.8,0.84,0.75,0.92,0.84,0.92,0.97,0.79,0.78,0.7,0.86,0.8,0.76,0.99,0.99,0.99,0.94,0.99,0.94
KHM,BCG,,,,,,,,0.68,0.59,0.69,0.51,0.56,0.5,0.57,0.78,0.95,0.9,0.82,0.76,0.78,0.81,0.64,0.63,0.76,0.95,0.87,0.87,0.9,0.98,0.99,0.94,0.99,0.99,0.93,0.99,0.99
CMR,BCG,,0.08,,0.46,0.49,,,,0.26,0.3,0.52,0.48,0.52,0.41,0.53,0.54,0.55,0.53,0.63,0.66,0.69,0.66,0.76,0.82,0.83,0.77,0.85,0.81,0.86,0.79,0.83,0.8,0.81,0.82,0.82,0.74
CAF,BCG,0.17,0.26,0.24,0.29,0.32,0.34,0.37,0.35,0.53,0.86,0.93,0.82,0.47,,0.63,0.54,0.94,0.94,0.53,0.54,0.47,0.38,0.66,0.55,0.69,0.59,0.85,0.9,0.7,0.87,0.64,0.69,0.61,0.39,0.5,0.56
TCD,BCG,,,,,,,,0.32,0.33,0.47,,0.4,0.34,0.34,0.43,0.43,0.41,0.45,0.43,0.57,0.5,0.44,0.67,0.72,0.38,0.71,0.85,0.72,0.57,0.72,0.84,0.79,0.79,0.83,0.85,0.96
CHL,BCG,0.96,0.96,0.94,0.92,0.95,0.96,0.96,0.97,0.98,0.97,0.94,0.99,0.99,0.97,0.99,0.97,0.99,0.92,0.92,0.95,0.93,0.98,0.96,0.95,0.95,0.95,0.98,0.98,0.99,0.95,0.96,0.91,0.92,0.98,0.98,0.93
CHN,BCG,,,,0.34,0.5,0.5,0.79,0.7,0.85,0.98,0.99,0.96,0.94,0.93,0.94,0.92,0.97,0.96,0.96,0.98,0.85,0.77,0.98,0.98,0.99,0.86,0.92,0.94,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99
COL,BCG,0.45,0.57,0.66,0.79,0.69,0.76,0.7,0.8,0.99,0.94,0.95,0.95,0.88,0.94,0.96,0.99,0.99,0.98,0.85,0.8,0.91,0.87,0.87,0.97,0.92,0.94,0.96,0.93,0.93,0.9,0.84,0.83,0.89,0.85,0.89,0.9
COM,BCG,,,,,0.56,,0.73,0.97,0.72,0.95,0.99,0.71,0.81,0.85,0.94,0.95,0.55,0.55,0.84,,0.9,0.9,0.9,0.79,0.79,0.8,0.84,0.77,0.81,0.8,0.77,0.9,0.79,0.78,0.76,0.73
COG,BCG,,0.92,,0.9,0.8,0.89,0.86,0.74,0.68,0.83,0.86,0.83,0.75,0.63,,0.5,0.58,0.29,,0.39,0.5,0.53,0.51,0.6,0.85,0.73,0.84,0.86,0.93,0.9,0.95,0.95,0.92,0.92,0.95,0.85
COK,BCG,0.29,,,0.74,0.6,0.99,0.87,0.89,0.9,0.94,0.99,0.96,0.94,0.94,0.99,0.96,0.9,0.85,0.98,0.97,0.99,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.98,0.99,0.99
CRI,BCG,0.8,0.81,0.81,0.83,0.86,0.82,0.79,0.83,0.86,0.89,0.92,0.81,0.94,0.98,0.94,0.99,0.92,0.82,0.87,0.89,0.92,0.87,0.91,0.87,0.9,0.88,0.87,0.91,0.86,0.81,0.79,0.78,0.78,0.79,0.8,0.83
CIV,BCG,,,,,,,,,,0.47,,0.65,0.51,0.53,0.44,0.49,0.68,0.73,0.71,0.74,0.76,0.72,0.89,0.62,0.51,0.61,0.77,0.94,0.91,0.95,0.91,0.74,0.99,0.9,0.84,0.79
HRV,BCG,,,,,,,,,,,,0.97,0.92,0.98,0.98,0.99,0.99,0.98,0.97,0.96,0.98,0.97,0.99,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.98,0.98
CUB,BCG,0.99,0.97,0.97,0.96,0.97,0.98,0.98,0.96,0.99,0.98,0.98,0.98,0.98,0.97,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99
CZE,BCG,,,,,,,,,,,,0.98,0.98,0.98,0.95,0.95,0.96,0.97,0.98,0.98,0.99,0.98,0.97,0.99,0.99,0.99,0.99,0.99,0.99,,,,,,,
PRK,BCG,0.5,0.52,0.51,0.52,0.49,0.51,0.53,0.96,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.64,0.82,0.82,0.82,0.97,0.88,0.95,0.94,0.96,0.96,0.97,0.98,0.98,0.98,0.98,0.98,0.98,0.97
COD,BCG,0.57,0.61,0.62,0.65,0.62,0.69,0.51,0.57,0.59,0.55,0.46,0.21,,0.43,0.38,0.34,0.25,0.25,0.25,0.3,0.57,0.45,0.55,0.68,0.78,0.84,0.87,0.94,0.89,0.95,0.96,0.77,0.88,0.95,0.9,0.86
DNK,BCG,,0.95,0.95,0.85,0.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DJI,BCG,,,0.05,,0.66,0.58,0.38,0.42,0.87,0.8,0.95,0.81,0.84,0.51,0.58,0.76,0.58,0.67,0.35,0.26,0.34,0.38,0.52,0.63,0.78,0.52,0.88,0.9,0.9,0.9,0.9,0.89,0.87,0.86,0.99,0.92
DMA,BCG,0.65,,0.48,0.99,0.84,0.9,0.87,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.9,0.98,0.99,0.99,0.99,0.98,0.97,0.98,0.99
DOM,BCG,0.29,0.34,0.48,0.41,0.43,0.51,0.92,0.8,0.43,0.38,0.68,0.45,0.75,0.86,0.69,0.76,0.79,0.88,0.86,0.99,0.9,0.98,0.99,0.95,0.97,0.99,0.95,0.92,0.92,0.96,0.98,0.99,0.99,0.99,0.99,0.99
ECU,BCG,0.75,0.82,0.99,0.85,0.99,0.99,0.93,0.85,0.86,0.91,0.99,0.93,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.9,0.89,0.88
EGY,BCG,0.72,0.71,0.74,,0.71,0.8,0.77,0.84,0.8,0.83,0.89,0.92,0.92,0.95,0.95,0.93,0.95,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.98,0.98,0.98,0.98,0.98,0.95,0.98,0.96,0.96
SLV,BCG,0.56,0.47,0.46,0.48,0.22,0.5,0.51,0.55,0.56,0.62,0.75,0.67,0.62,0.79,0.82,0.99,0.98,0.95,0.99,0.72,0.99,0.92,0.92,0.91,0.94,0.84,0.93,0.99,0.99,0.88,0.89,0.91,0.9,0.9,0.85,0.99
GNQ,BCG,,,,,,0.28,0.3,,0.49,0.49,,,0.81,0.84,,0.99,0.99,0.99,,0.48,0.34,0.73,0.91,0.6,0.58,0.42,0.47,0.56,0.71,0.68,0.58,0.53,0.53,0.51,0.64,0.35
ERI,BCG,,,,,,,,,,,,,,0.37,0.46,0.44,0.52,0.67,0.71,0.64,0.61,0.7,0.75,0.8,0.85,0.85,0.9,0.9,0.9,0.9,0.9,0.97,0.97,0.97,0.97,0.97
EST,BCG,0.96,0.96,0.97,0.97,0.96,0.97,0.96,0.98,0.99,0.99,0.98,0.98,0.98,0.98,0.98,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.99,0.98,0.98,0.97,0.97,0.99,0.97,0.96,0.95,0.95
ETH,BCG,,0.05,0.06,0.07,0.08,0.11,0.13,0.28,0.27,0.44,0.7,0.29,0.26,0.36,0.46,0.65,0.54,0.52,0.47,0.5,0.51,0.56,0.55,0.57,0.67,0.67,0.72,0.72,0.81,0.76,0.69,0.54,,0.77,0.78,0.97
FJI,BCG,0.95,0.98,0.98,0.99,0.94,0.99,0.96,0.93,0.99,0.99,0.99,0.99,,0.99,0.99,0.99,0.99,0.95,0.95,,,0.99,0.99,0.99,0.93,0.9,0.93,0.9,0.99,0.88,0.99,0.61,0.99,0.99,0.99,0.99
